ID,lat,lng,Severity,Weather Condition,Visibility (mi),Wind Speed (mph),Precipitation (in),hour,day,month,Description
A-3868773,39.70043,-104.8292,2,Fair,10,10,0,14,3,9,At Mississippi Ave/Exit 7 - Accident.
A-3868777,39.617897,-104.898058,2,Fair,10,5,0,15,3,9,At CO-88/Belleview Ave/Exit 199 - Accident.
A-3868778,39.76025,-105.006,2,Fair,10,5,0,15,3,9,At 20th St/Exit 212 - Accident.
A-3868781,37.65316,-104.793081,3,Fair,10,10,0,16,3,9,Closed between I-25-bl/US-85/US-87 and CR-610/Red Rock Rd - Road closed due to accident. Jackknifed articulated truck. emergency vehicles at scene.
A-3868782,37.647448,-104.815536,3,Fair,10,10,0,16,3,9,Closed at I-25-bl/US-85/US-87 - Road closed due to accident. Jackknifed articulated truck. emergency vehicles at scene.
A-3868791,39.882769,-104.98746,2,Fair,10,5,0,18,3,9,At 104th Ave/Exit 221 - Accident.
A-3868792,39.711107,-104.82667,2,Fair,10,5,0,18,3,9,At E Alameda Ave/Exit 8 - Accident.
A-3868803,39.025338,-104.483493,3,Fair,10,5,0,22,3,9,Closed at CO-217/CR-32/Elbert Rd - Road closed due to accident.
A-3868805,39.912068,-104.99029,2,Fair,10,5,0,21,3,9,At CO-128/120th Ave/Exit 223 - Accident.
A-3868807,39.382216,-106.062403,2,Fair,10,5,0,22,3,9,At Whispering Pines Ln - Accident. Jackknifed articulated truck. Roadway reduced to 1 lane.
A-3868808,39.387069,-106.055101,2,Fair,10,5,0,22,3,9,At CR-850/Blue Lakes Rd - Accident. Jackknifed articulated truck. Roadway reduced to 1 lane.
A-3870230,39.348343,-104.872645,2,Fair,10,15,0,6,4,9,At Tomah Rd/Exit 174 - Accident.
A-3870231,39.751141,-105.01687,2,Fair,10,0,0,6,4,9,At 23rd Ave/Exit 211 - Accident.
A-3870233,39.267829,-104.89609,3,Fair,10,15,0,7,4,9,Closed between Spruce Mountain Rd/Exit 173 and Wilcox St/Plum Crk Pky/Exit 181 - Road closed due to accident.
A-3870234,39.26545,-104.8952,1,Fair,10,15,0,7,4,9,At Tomah Rd/Exit 174 - Accident.
A-3870236,39.26432,-104.89469,3,Fair,10,10,0,7,4,9,Closed at Tomah Rd/Exit 174 - Road closed due to accident.
A-3870241,39.56396,-104.904544,2,Fair,10,10,0,8,4,9,At Quebec St - Accident.
A-3870246,39.65813,-104.92051,2,Fair,10,15,0,9,4,9,At Yale Ave/Exit 202 - Accident.
A-3870247,39.66758,-104.92509,3,Fair,10,10,0,9,4,9,Ramp closed to Yale Ave/Exit 202 - Road closed due to accident.
A-3870251,39.8204,-104.97849,2,Fair,10,5,0,11,4,9,At I-25/Exit 5 - Accident.
